Course,LMS ID,Ligtas ID,Duration of Access,,,,,,,,,,,,,,,,,,,,,,,
Legionella Awareness,407,L0054,30 Days,, ,,,,,,,,,,,,,,,,,,,,,
NEBOSH International General Certificate in Occupational Health and Safety,310,L0019,12 Months,,,,,,,,,,,,,,,,,,,,,,,
NEBOSH International Diploma in Occupational Health and Safety,,50 + 56 + 58,5 Years,,,,,,,,,,,,,,,,,,,,,,,
NEBOSH National Diploma in Occupational Health and Safety,397 + 410 + 418,49 + 55 + 57,5 Years,,,,,,,,,,,,,,,,,,,,,,,
Ligtas First Aid Awareness,388,L0045,30 Days,,,,,,,,,,,,,,,,,,,,,,,
NEBOSH National Certificate in Fire Safety and Risk Management,,,12 Months,CLOSED,,,,,,,,,,,,,,,,,,,,,,
NEBOSH Certificate in Fire Safety,389,L0046,12 Months,,,,,,,,,,,,,,,,,,,,,,,
COVID-Secure Awareness,350,L0040,30 Days,,,,,,,,,,,,,,,,,,,,,,,
Homeworking Bundle,,,3 Months,CLOSED,,,,,,,,,,,,,,,,,,,,,,
Mental Health Awareness,230,L0039,30 Days,,,,,,,,,,,,,,,,,,,,,,,
IEMA Foundation Certificate in Environmental Management,,,,CLOSED,,,,,,,,,,,,,,,,,,,,,,
NEBOSH National General Certificate in Occupational Health and Safety,307,L0018,12 Months,,,,,,,,,,,,,,,,,,,,,,,
Ligtas Silver NEBOSH National General Certificate in Occupational Health and Safety,,L0022,12 Months,,,,,,,,,,,,,,,,,,,,,,,
Ligtas Gold NEBOSH National General Certificate in Occupational Health and Safety,,L0021,12 Months, ,,,,,,,,,,,,,,,,,,,,,,
IOSH Working Safely,232,L004.1,3 Months,,,,,,,,,,,,,,,,,,,,,,,
IEMA Environmental Awareness,25,L0002,30 Days,CLosed,,,,,,,,,,,,,,,,,,,,,,
How to write-Method Statement,118,L0028,30 Days,,,,,,,,,,,,,,,,,,,,,,,
How to write-Risk Assessment,119,L0029,30 Days,,,,,,,,,,,,,,,,,,,,,,,
Construction Design and Management Overview,147,L0037,30 Days,,,,,,,,,,,,,,,,,,,,,,,
How to carry out a risk assessment,117,L0027,30 Days,,,,,,,,,,,,,,,,,,,,,,,
Fire Marshall Awareness,130,L0036,30 Days,,,,,,,,,,,,,,,,,,,,,,,
Fire Safety Awareness,121,L0031,30 Days,,,,,,,,,,,,,,,,,,,,,,,
Electrical Safety Awareness,129,L0035,30 Days,,,,,,,,,,,,,,,,,,,,,,,
Asbestos Awareness,16,L0041,30 Days,,,,,,,,,,,,,,,,,,,,,,,
Confined Spaces Awareness,122,L0032,30 Days,,,,,,,,,,,,,,,,,,,,,,,
Manual Handling Awareness,110,L0023,30 Days,,,,,,,,,,,,,,,,,,,,,,,
Carry Out a Fire Risk Assessment,117,L0027,30 Days,,,,,,,,,,,,,,,,,,,,,,,
COSHH Awareness,114,L0025,30 Days,,,,,,,,,,,,,,,,,,,,,,,
General Health and Safety Awareness,120,L0030,30 Days,,,,,,,,,,,,,,,,,,,,,,,
Working at Height Awareness,123,L0033,30 Days,,,,,,,,,,,,,,,,,,,,,,,
Display Screen Equipment Assessment,111,L0024,30 Days,,,,,,,,,,,,,,,,,,,,,,,
IOSH Managing Safely,408,L0003.6,6 Months,,,,,,,,,,,,,,,,,,,,,,,
Accident and Incident Investigation,,L0061,30 Days,,,,,,,,,,,,,,,,,,,,,,,
